setting,model_family,method,coverage,coverage_error,avg_length,median_length,qhat,max_abs_cond_error,mean_abs_cond_error,worst_undercoverage,worst_overcoverage,seed,pi_upper_max_abs_cond_error,pi_upper_mean_abs_cond_error,pi_upper_worst_undercoverage,pi_upper_worst_overcoverage,mode_entropy_max_abs_cond_error,mode_entropy_mean_abs_cond_error,mode_entropy_worst_undercoverage,mode_entropy_worst_overcoverage,mode_margin_max_abs_cond_error,mode_margin_mean_abs_cond_error,mode_margin_worst_undercoverage,mode_margin_worst_overcoverage,mode_separation_max_abs_cond_error,mode_separation_mean_abs_cond_error,mode_separation_worst_undercoverage,mode_separation_worst_overcoverage
homoskedastic,rf,absolute residual,0.8993333333333333,-0.0006666666666667043,0.8620122859253567,0.8620122859253567,0.43100614296267836,0.0006666666666667043,0.0006666666666667043,-0.0006666666666667043,-0.0006666666666667043,0,,,,,,,,,,,,,,,,
homoskedastic,rf,locally normalized residual,0.8973333333333333,-0.002666666666666706,0.8854345055617935,0.8758756159040743,3.1194082368936695,0.002666666666666706,0.002666666666666706,-0.002666666666666706,-0.002666666666666706,0,,,,,,,,,,,,,,,,
homoskedastic,rf,stabilized normalized residual,0.902,0.0020000000000000018,0.8813520229433786,0.8737439706591874,2.8280908804036624,0.0020000000000000018,0.0020000000000000018,0.0020000000000000018,0.0020000000000000018,0,,,,,,,,,,,,,,,,
homoskedastic,rf,blended normalized residual gamma=0.25,0.902,0.0020000000000000018,0.868528083268349,0.8627666468119419,2.8555474807916514,0.0020000000000000018,0.0020000000000000018,0.0020000000000000018,0.0020000000000000018,0,,,,,,,,,,,,,,,,
homoskedastic,rf,blended normalized residual gamma=0.50,0.8993333333333333,-0.0006666666666667043,0.8644821065158036,0.8605625540169679,2.9139785751088283,0.0006666666666667043,0.0006666666666667043,-0.0006666666666667043,-0.0006666666666667043,0,,,,,,,,,,,,,,,,
homoskedastic,rf,blended normalized residual gamma=0.75,0.902,0.0020000000000000018,0.8712985175004948,0.869272146301729,3.0129981727120767,0.0020000000000000018,0.0020000000000000018,0.0020000000000000018,0.0020000000000000018,0,,,,,,,,,,,,,,,,
homoskedastic,rf,oracle local normalization,0.8993333333333333,-0.0006666666666667043,0.8620122859253567,0.8620122859253567,1.7240245718507134,0.0006666666666667043,0.0006666666666667043,-0.0006666666666667043,-0.0006666666666667043,0,,,,,,,,,,,,,,,,
homoskedastic,rf,gmm density level set (1 comp),0.8993333333333333,-0.0006666666666667043,0.8673894912426762,0.8673894912426761,2.0279610686505842,0.0006666666666667043,0.0006666666666667043,-0.0006666666666667043,-0.0006666666666667043,0,,,,,,,,,,,,,,,,
homoskedastic,rf,absolute residual,0.9,0.0,0.845492495774974,0.8454924957749741,0.42274624788748705,0.0,0.0,0.0,0.0,1,,,,,,,,,,,,,,,,
homoskedastic,rf,locally normalized residual,0.9033333333333333,0.0033333333333332993,0.8719169931298753,0.86329610323763,3.0807510111231133,0.0033333333333332993,0.0033333333333332993,0.0033333333333332993,0.0033333333333332993,1,,,,,,,,,,,,,,,,
