epoch,n_train_features,n_test_features,feature_dim,within_between_ratio_train,within_between_ratio_test,effective_rank_train,participation_ratio_train,linear_margin_mean,linear_margin_median,linear_margin_p10,linear_margin_frac_negative
0,10000,10000,64,1.7782309397861311,1.7477000307606956,1.8897629976272583,1.3025203943252563,0.9448805554920877,0.6817125149169598,-1.7243204373100707,0.3473
1,10000,10000,64,0.43716889533066694,0.45257029881543115,7.62375545501709,6.119839668273926,2.9720975755212895,3.082739834974528,-0.8241735051170649,0.1553
2,10000,10000,64,0.2609711165502882,0.26960157648485905,10.297354698181152,8.84630298614502,5.471283219331058,6.069935119405525,2.0048275756477327,0.0534
5,10000,10000,64,0.1142272043890477,0.1214571333015945,10.235540390014648,9.085663795471191,7.837166616401298,8.219251805145614,5.100140820632192,0.0261
10,10000,10000,64,0.07099223012291175,0.08014883007913966,10.054102897644043,9.090499877929688,9.276784718402617,9.615451949639105,6.52167607745862,0.0181
20,10000,10000,64,0.035086605796852265,0.0510283522795806,9.714263916015625,8.948578834533691,9.608862943401816,9.360540882631426,6.910795220889399,0.0135
