epoch,train_loss,train_acc,test_loss,test_acc,lr,epoch_seconds
1,1.5834020322799682,0.4457833333333333,0.6888376280784607,0.7624,0.0009941519617826904,21.444038152694702
2,0.6396644487539928,0.86775,0.2481407621383667,0.93,0.000976751845240198,19.635207176208496
3,0.46393105743726093,0.93565,0.17391085691452027,0.9538,0.0009482280989894747,20.133843421936035
4,0.41260139837265014,0.9535833333333333,0.14792982454299927,0.9645,0.0009092830723281001,18.87004065513611
5,0.3856364373683929,0.9632333333333334,0.1164824851512909,0.9752,0.0008608757210636101,20.38089632987976
6,0.3678324096361796,0.9692166666666666,0.11733210201263428,0.9741,0.0008041979948389248,18.93807625770569
7,0.3535154137770335,0.9745833333333334,0.09897912404537201,0.9807,0.0007406454873762847,19.896679401397705
8,0.346874964761734,0.97645,0.0985092255115509,0.9813,0.0006717830723281,18.987271308898926
9,0.338714128780365,0.9804,0.09000044708251953,0.983,0.0005993063708941098,20.390393257141113
10,0.33145492766698204,0.98265,0.09219418334960937,0.9819,0.000525,18.71360445022583
11,0.32656432345708214,0.9843666666666666,0.08325932202339173,0.9849,0.00045069362910589027,19.812167167663574
12,0.320084863948822,0.9864833333333334,0.08497410600185394,0.9857,0.00037821692767190003,18.902605533599854
13,0.3171924414634705,0.98745,0.08135011833906174,0.9861,0.0003093545126237153,19.759267807006836
14,0.3134254807631175,0.9892666666666666,0.08058987636566162,0.9859,0.00024580200516107533,19.077906131744385
15,0.3088874866167704,0.9910666666666667,0.08081017456054687,0.9856,0.00018912427893638995,19.882325410842896
16,0.30653386920293174,0.9917166666666667,0.07714519268274307,0.9873,0.0001407169276719,18.82734251022339
17,0.30492566878000893,0.9922,0.07602301448583602,0.9878,0.0001017719010105253,19.697826385498047
18,0.3023663390318553,0.9934333333333333,0.07510979532003403,0.9884,7.324815475980207e-05,19.404205322265625
19,0.3019050639470418,0.99345,0.07597264515161514,0.9876,5.584803821730961e-05,20.029205799102783
20,0.30089104789098103,0.9939333333333333,0.07452133883237838,0.9883,5e-05,19.87714171409607
