epoch,head,head_family,train_acc,test_acc,fit_seconds,error,delta_vs_linear,delta_ci_low,delta_ci_high,room_to_improve,relative_gain_of_remaining_error,mcnemar_n01,mcnemar_n10,mcnemar_p,best_linear_head,best_linear_acc,delta_vs_best_linear,delta_best_linear_ci_low,delta_best_linear_ci_high,relative_gain_vs_best_linear_remaining_error,mcnemar_vs_best_linear_n01,mcnemar_vs_best_linear_n10,mcnemar_vs_best_linear_p
5,small_mlp,nonlinear,0.9833,0.9766,1.5222740173339844,,0.0027,0.0005975,0.0049,0.026100000000000012,0.10344827586206892,81,54,0.02487582645664314,linear_svm,0.9767,-0.0001,-0.0019,0.0016,-0.004291845493562234,42,43,1.0
10,linear_logreg,linear,0.9985,0.9819,1.3319692611694336,,0.0,0.0,0.0,0.018100000000000005,0.0,0,0,1.0,linear_svm,0.9836,-0.0017,-0.0032,-0.0002,-0.10365853658536604,20,37,0.03314396778750544
10,linear_svm,linear,0.9973,0.9836,0.510352373123169,,0.0017,0.0002,0.0033,0.018100000000000005,0.09392265193370163,37,20,0.03314396778750544,linear_svm,0.9836,0.0,0.0,0.0,0.0,0,0,1.0
10,knn_distance,nonlinear,1.0,0.9845,2.0426506996154785,,0.0026,0.0006,0.004602499999999998,0.018100000000000005,0.14364640883977897,63,37,0.012032975725363479,linear_svm,0.9836,0.0009,-0.0006,0.0025,0.0548780487804879,37,28,0.3210841356849955
10,random_forest,nonlinear,1.0,0.985,18.97755265235901,,0.0031,0.0012975,0.0052,0.018100000000000005,0.17127071823204415,62,31,0.0017127644224002386,linear_svm,0.9836,0.0014,-0.0001,0.0029,0.08536585365853674,35,21,0.08142681460950618
10,rbf_svm,nonlinear,0.9978,0.9844,1.1151773929595947,,0.0025,0.0007,0.0045,0.018100000000000005,0.13812154696132592,58,33,0.011456340539425666,linear_svm,0.9836,0.0008,-0.0007024999999999999,0.0025,0.04878048780487814,37,29,0.3890524605477928
10,small_mlp,nonlinear,0.989,0.9819,1.3800146579742432,,0.0,-0.002,0.0022,0.018100000000000005,0.0,55,55,1.0,linear_svm,0.9836,-0.0017,-0.0034,0.0002,-0.10365853658536604,35,52,0.08568897435916664
20,linear_logreg,linear,0.9992,0.9865,1.2128894329071045,,0.0,0.0,0.0,0.013499999999999956,0.0,0,0,1.0,linear_svm,0.9875,-0.001,-0.0021,0.0001,-0.08000000000000028,11,21,0.11018416518345475
20,linear_svm,linear,0.9989,0.9875,0.5065598487854004,,0.001,-0.0001,0.0021,0.013499999999999956,0.07407407407407432,21,11,0.11018416518345475,linear_svm,0.9875,0.0,0.0,0.0,0.0,0,0,1.0
20,knn_distance,nonlinear,1.0,0.9881,1.689134120941162,,0.0016,0.0,0.0031,0.013499999999999956,0.11851851851851891,38,22,0.051893895928921435,linear_svm,0.9875,0.0006,-0.0007,0.002,0.04800000000000017,26,20,0.4613911821367651
20,random_forest,nonlinear,1.0,0.9881,15.741695880889893,,0.0016,0.0002,0.003,0.013499999999999956,0.11851851851851891,34,18,0.03648340000835981,linear_svm,0.9875,0.0006,-0.0005,0.0019,0.04800000000000017,22,16,0.417692190836533
20,rbf_svm,nonlinear,0.9988,0.9881,1.0435314178466797,,0.0016,0.0003975000000000002,0.0028024999999999977,0.013499999999999956,0.11851851851851891,31,15,0.02589608179323477,linear_svm,0.9875,0.0006,-0.0004,0.0017,0.04800000000000017,19,13,0.37708558747544885
20,small_mlp,nonlinear,0.9975,0.988,2.1264262199401855,,0.0015,0.0,0.0031,0.013499999999999956,0.11111111111111147,38,23,0.07217743850092258,linear_svm,0.9875,0.0005,-0.0008,0.0018,0.04000000000000014,24,19,0.542384011856484
